"","Event.Name","Permanent.Tournament.Number","Player.Name","Finish.Position.numeric.","Total.Strokes","Total.Rounds.","Scoring.Avg.Total.Adjustment.","Birdie_Or_Better","Total.Holes.Over.Par","TTL.SG.T2G","Total.Putts.Gained","Official.Event.Y.N."
"112","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Barnes, Ricky",34,275,4,8.231,21,7,-1.752,3.519,1
"113","Waste Management Phoenix Open",12,"Barnes, Ricky",99,144,2,-0.315,5,7,-0.948,-0.109,1
"114","AT&T Pebble Beach Pro-Am",13,"Barnes, Ricky",41,285,4,-0.32,17,13,0.105,-0.604,1
"115","Northern Trust Open",14,"Barnes, Ricky",26,279,4,0.115,15,10,-0.38,4.798,1
"116","The Honda Classic",15,"Barnes, Ricky",99,150,2,-3.981,6,11,-0.751,-0.136,1
"117","Valspar Championship",17,"Barnes, Ricky",99,151,2,-3.871,8,13,0.059,1.211,1
"118","Puerto Rico Open at Coco Beach",19,"Barnes, Ricky",39,285,4,1.071,14,9,0,0,1
"119","Shell Houston Open",21,"Barnes, Ricky",99,81,1,1.395,2,9,-6.02,-1.352,1
"139","Frys.com Open",1,"Berger, Daniel",17,278,4,3.777,19,8,0.41,4.887,1
"140","CIMB Classic",3,"Berger, Daniel",64,285,4,9.523,18,11,0,0,1
"141","World Golf Championships-HSBC Champions",5,"Berger, Daniel",11,274,4,5.684,22,5,0,0,1
"142","Sony Open in Hawaii",9,"Berger, Daniel",42,271,4,6.264,17,7,0.953,-1.434,1
"143","Farmers Insurance Open",11,"Berger, Daniel",99,144,2,-0.577,5,5,0.053,0.395,1
"144","Waste Management Phoenix Open",12,"Berger, Daniel",58,286,4,0.093,12,14,0.325,0.57,1
"145","Northern Trust Open",14,"Berger, Daniel",99,145,2,-0.318,6,9,-0.162,-0.656,1
"146","The Honda Classic",15,"Berger, Daniel",99,145,2,-3.981,4,8,1.6,-3.59,1
"147","World Golf Championships-Cadillac Championship",16,"Berger, Daniel",28,290,4,-3.421,13,14,0.597,0.604,1
"148","Valspar Championship",17,"Berger, Daniel",11,283,4,-5.818,10,8,0.494,-1.532,1
"149","Shell Houston Open",21,"Berger, Daniel",5,277,4,0.248,23,11,-0.438,5.188,1
"150","Masters Tournament",22,"Berger, Daniel",10,289,4,-9.531,15,16,0,0,1
"162","Frys.com Open",1,"Blair, Zac",99,152,2,1.413,4,10,-0.002,-1.871,1
"163","Shriners Hospitals for Children Open",2,"Blair, Zac",99,141,2,1.944,4,3,-0.459,-3.795,1
"164","CIMB Classic",3,"Blair, Zac",43,280,4,9.523,14,5,0,0,1
"165","OHL Classic at Mayakoba",6,"Blair, Zac",10,273,4,3.848,16,6,0,0,1
"166","The RSM Classic",7,"Blair, Zac",33,275,4,3.481,13,6,-0.282,2.334,1
"167","Sony Open in Hawaii",9,"Blair, Zac",3,261,4,6.264,23,4,0.201,6.541,1
"168","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Blair, Zac",99,215,3,7.576,13,9,-0.369,0.022,1
"169","Farmers Insurance Open",11,"Blair, Zac",99,146,2,-0.322,10,10,-1.165,-2.153,1
"170","Waste Management Phoenix Open",12,"Blair, Zac",33,280,4,0.093,18,12,-0.266,5.564,1
"171","AT&T Pebble Beach Pro-Am",13,"Blair, Zac",60,288,4,-1.974,9,10,0.568,1.388,1
"172","Northern Trust Open",14,"Blair, Zac",99,149,2,-0.318,3,9,-0.465,-4.381,1
"173","The Honda Classic",15,"Blair, Zac",99,155,2,-3.981,3,13,-0.41,-0.534,1
"174","Valspar Championship",17,"Blair, Zac",99,154,2,-3.871,1,12,-0.423,-2.629,1
"175","Arnold Palmer Invitational presented by MasterCard",18,"Blair, Zac",55,286,4,2.149,14,11,-0.532,-0.008,1
"176","Shell Houston Open",21,"Blair, Zac",38,285,4,0.248,13,8,0.297,1.626,1
"179","Frys.com Open",1,"Blixt, Jonas",48,283,4,3.777,15,10,-0.203,2.058,1
"180","Shriners Hospitals for Children Open",2,"Blixt, Jonas",99,143,2,1.944,9,7,-1.106,0.398,1
"181","Sanderson Farms Championship",4,"Blixt, Jonas",99,142,2,3.173,8,6,-0.185,0.142,1
"182","OHL Classic at Mayakoba",6,"Blixt, Jonas",99,143,2,2.043,6,7,0,0,1
"183","The RSM Classic",7,"Blixt, Jonas",99,144,2,1.532,3,6,-0.09,-1.128,1
"184","Sony Open in Hawaii",9,"Blixt, Jonas",99,146,2,2.701,5,8,-2.518,0.984,1
"185","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Blixt, Jonas",28,274,4,8.231,21,5,0.488,0.735,1
"186","Farmers Insurance Open",11,"Blixt, Jonas",6,286,4,-7.49,15,14,0.163,2.693,1
"187","Waste Management Phoenix Open",12,"Blixt, Jonas",99,146,2,-0.315,9,11,-0.531,-0.547,1
"188","AT&T Pebble Beach Pro-Am",13,"Blixt, Jonas",3,272,4,-0.32,19,5,1.273,1.767,1
"189","The Honda Classic",15,"Blixt, Jonas",99,144,2,-3.981,1,5,-0.969,-0.706,1
"190","Valspar Championship",17,"Blixt, Jonas",22,285,4,-5.818,13,14,0.14,5.426,1
"191","Arnold Palmer Invitational presented by MasterCard",18,"Blixt, Jonas",27,282,4,2.149,19,13,0.241,4.502,1
"192","Shell Houston Open",21,"Blixt, Jonas",81,225,3,0.035,12,12,-1.342,0.978,1
"193","Frys.com Open",1,"Bohn, Jason",3,274,4,3.777,23,9,0.797,0.687,1
"194","Shriners Hospitals for Children Open",2,"Bohn, Jason",2,269,4,3.683,23,7,0.079,5.304,1
"195","Sanderson Farms Championship",4,"Bohn, Jason",39,280,4,5.957,16,8,0.177,-2.342,1
"196","OHL Classic at Mayakoba",6,"Bohn, Jason",2,266,4,3.848,21,5,0,0,1
"197","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Bohn, Jason",99,209,3,7.576,12,5,0.582,0.281,1
"198","Waste Management Phoenix Open",12,"Bohn, Jason",37,281,4,0.093,13,9,0.642,0.499,1
"199","AT&T Pebble Beach Pro-Am",13,"Bohn, Jason",58,287,4,-0.32,14,13,-0.033,-0.195,1
"200","The Honda Classic",15,"Bohn, Jason",99,143,2,-3.981,4,7,0.778,-0.231,1
"201","Puerto Rico Open at Coco Beach",19,"Bourdy, Gregory",35,284,4,1.071,17,15,0,0,1
"202","Frys.com Open",1,"Bowditch, Steven",99,145,2,1.413,6,6,-1.119,3.513,1
"203","Shriners Hospitals for Children Open",2,"Bowditch, Steven",80,222,3,1.965,9,13,-1.166,-0.387,1
"204","CIMB Classic",3,"Bowditch, Steven",71,288,4,9.523,17,15,0,0,1
"205","World Golf Championships-HSBC Champions",5,"Bowditch, Steven",40,282,4,5.684,19,9,0,0,1
"206","Hyundai Tournament of Champions",8,"Bowditch, Steven",10,277,4,12.77,23,8,0.25,4.377,1
"207","Sony Open in Hawaii",9,"Bowditch, Steven",87,213,3,4.333,10,9,-0.989,-4.884,1
"208","Waste Management Phoenix Open",12,"Bowditch, Steven",99,154,2,-0.315,5,14,-2.54,-1.66,1
"209","AT&T Pebble Beach Pro-Am",13,"Bowditch, Steven",41,285,4,-1.974,17,15,-1.524,4.573,1
"210","Northern Trust Open",14,"Bowditch, Steven",99,152,2,-0.318,5,13,-1.031,-2.296,1
"211","World Golf Championships-Cadillac Championship",16,"Bowditch, Steven",65,325,4,-3.421,8,24,-2.525,-2.167,1
"212","Valspar Championship",17,"Bowditch, Steven",99,157,2,-3.871,5,13,-4.131,-0.315,1
"213","Shell Houston Open",21,"Bowditch, Steven",99,150,2,0.431,6,9,-1.507,0.126,1
"214","Masters Tournament",22,"Bowditch, Steven",99,161,2,-5.112,2,15,0,0,1
"215","Shriners Hospitals for Children Open",2,"Bradley, Keegan",99,142,2,1.944,9,8,1.402,-5.309,1
"216","CIMB Classic",3,"Bradley, Keegan",47,281,4,9.523,17,10,0,0,1
"217","OHL Classic at Mayakoba",6,"Bradley, Keegan",8,272,4,3.848,18,6,0,0,1
"218","Sony Open in Hawaii",9,"Bradley, Keegan",99,142,2,2.701,6,7,-0.856,-0.846,1
"219","Farmers Insurance Open",11,"Bradley, Keegan",99,145,2,-0.577,4,5,-0.031,-2.151,1
"220","Waste Management Phoenix Open",12,"Bradley, Keegan",24,279,4,0.093,16,10,-0.063,-1.795,1
"221","Northern Trust Open",14,"Bradley, Keegan",99,143,2,-0.318,7,8,0.907,-3.006,1
"222","The Honda Classic",15,"Bradley, Keegan",99,146,2,-3.981,4,9,0.049,-2.922,1
"223","Valspar Championship",17,"Bradley, Keegan",99,146,2,-3.871,7,8,0.642,-0.641,1
"224","Arnold Palmer Invitational presented by MasterCard",18,"Bradley, Keegan",36,283,4,2.149,14,7,0.021,-4.401,1
"225","Shell Houston Open",21,"Bradley, Keegan",99,147,2,0.431,3,5,0.072,-1.766,1
"226","Masters Tournament",22,"Bradley, Keegan",52,301,4,-9.531,11,20,0,0,1
"231","World Golf Championships-Cadillac Championship",16,"Broberg, Kristoffer",64,311,4,-3.421,11,26,-1.017,-6.183,1
"233","Frys.com Open",1,"Brown, Scott",99,147,2,1.413,6,9,0.46,-2.701,1
"234","Shriners Hospitals for Children Open",2,"Brown, Scott",73,213,3,1.965,11,9,0.615,-1.01,1
"235","CIMB Classic",3,"Brown, Scott",56,283,4,9.523,16,10,0,0,1
"236","OHL Classic at Mayakoba",6,"Brown, Scott",5,270,4,3.848,16,3,0,0,1
"237","The RSM Classic",7,"Brown, Scott",18,273,4,3.481,17,8,0.532,1.598,1
"238","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Brown, Scott",99,218,3,6.617,10,11,0.494,-4.284,1
"239","Farmers Insurance Open",11,"Brown, Scott",49,294,4,-7.49,17,21,0.754,4.019,1
"240","Waste Management Phoenix Open",12,"Brown, Scott",99,145,2,-0.315,4,8,0.901,-1.12,1
"241","AT&T Pebble Beach Pro-Am",13,"Brown, Scott",99,217,3,-0.577,6,8,-0.053,-1.132,1
"242","Northern Trust Open",14,"Brown, Scott",39,281,4,0.115,17,13,0.44,0.843,1
"243","The Honda Classic",15,"Brown, Scott",10,279,4,-6.686,12,11,-0.208,0.399,1
"244","Valspar Championship",17,"Brown, Scott",7,282,4,-5.818,12,8,0.64,6.491,1
"245","Arnold Palmer Invitational presented by MasterCard",18,"Brown, Scott",27,282,4,2.149,18,11,0.272,2.138,1
"246","Puerto Rico Open at Coco Beach",19,"Brown, Scott",5,278,4,1.071,20,10,0,0,1
"247","Shell Houston Open",21,"Brown, Scott",71,295,4,0.248,14,18,-0.095,-2.978,1
"261","Puerto Rico Open at Coco Beach",19,"Burmester, Dean",39,285,4,1.071,15,12,0,0,1
"270","Frys.com Open",1,"Cabrera, Angel",55,284,4,3.777,15,9,-0.71,3.756,1
"271","Shriners Hospitals for Children Open",2,"Cabrera, Angel",50,280,4,3.683,17,11,0.633,3.949,1
"272","OHL Classic at Mayakoba",6,"Cabrera, Angel",99,153,2,2.043,6,11,0,0,1
"273","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Cabrera, Angel",42,276,4,8.231,18,5,0.089,-0.528,1
"274","Farmers Insurance Open",11,"Cabrera, Angel",66,298,4,-7.745,12,17,1.264,-1.506,1
"275","Waste Management Phoenix Open",12,"Cabrera, Angel",99,148,2,-0.315,5,10,0.494,-4.738,1
"276","Northern Trust Open",14,"Cabrera, Angel",99,148,2,-0.318,8,12,-0.579,-3.646,1
"277","The Honda Classic",15,"Cabrera, Angel",99,147,2,-3.981,3,10,0.054,-3.216,1
"278","Arnold Palmer Invitational presented by MasterCard",18,"Cabrera, Angel",68,290,4,2.149,13,16,-0.117,0.408,1
"279","Shell Houston Open",21,"Cabrera, Angel",79,222,3,0.035,10,13,-0.167,5.069,1
"280","Masters Tournament",22,"Cabrera, Angel",24,294,4,-9.531,11,12,0,0,1
"281","Frys.com Open",1,"Campbell, Chad",99,144,2,1.413,4,3,0.12,-0.461,1
"282","Shriners Hospitals for Children Open",2,"Campbell, Chad",8,270,4,3.683,23,9,0.359,2.125,1
"283","CIMB Classic",3,"Campbell, Chad",29,277,4,9.523,18,7,0,0,1
"284","OHL Classic at Mayakoba",6,"Campbell, Chad",99,143,2,2.043,7,7,0,0,1
"285","The RSM Classic",7,"Campbell, Chad",9,272,4,3.481,14,4,0.771,-0.258,1
"286","Sony Open in Hawaii",9,"Campbell, Chad",67,275,4,6.264,15,10,-0.76,1.064,1
"287","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Campbell, Chad",99,210,3,7.576,9,3,0.572,-3.293,1
"288","Farmers Insurance Open",11,"Campbell, Chad",31,292,4,-7.49,12,16,0.343,-2.012,1
"289","Waste Management Phoenix Open",12,"Campbell, Chad",17,278,4,0.093,16,10,-0.464,1.035,1
"290","Northern Trust Open",14,"Campbell, Chad",99,143,2,-0.318,5,6,-0.086,-0.605,1
"291","The Honda Classic",15,"Campbell, Chad",99,146,2,-3.981,5,9,0.818,-4.318,1
"292","Valspar Championship",17,"Campbell, Chad",99,148,2,-3.871,3,9,1.458,-4.75,1
"293","Arnold Palmer Invitational presented by MasterCard",18,"Campbell, Chad",20,281,4,2.149,16,9,0.458,-1.012,1
"294","Shell Houston Open",21,"Campbell, Chad",99,148,2,0.431,6,10,-0.203,-2.217,1
"308","CIMB Classic",3,"Casey, Paul",24,275,4,9.523,20,7,0,0,1
"309","World Golf Championships-HSBC Champions",5,"Casey, Paul",23,278,4,5.684,19,10,0,0,1
"310","Farmers Insurance Open",11,"Casey, Paul",99,144,2,-0.322,3,3,1.761,0.452,1
"311","Northern Trust Open",14,"Casey, Paul",39,281,4,0.115,15,11,0.977,-1.175,1
"312","The Honda Classic",15,"Casey, Paul",43,284,4,-6.686,14,13,0.226,4.381,1
"313","World Golf Championships-Cadillac Championship",16,"Casey, Paul",7,282,4,-3.421,18,10,0.153,3.065,1
"314","Arnold Palmer Invitational presented by MasterCard",18,"Casey, Paul",9,278,4,2.149,18,8,0.335,-1.645,1
"315","Masters Tournament",22,"Casey, Paul",4,287,4,-9.531,16,15,0,0,1
"316","Frys.com Open",1,"Castro, Roberto",69,288,4,3.777,9,8,-0.084,-3.212,1
"317","Shriners Hospitals for Children Open",2,"Castro, Roberto",43,279,4,3.683,15,10,0.131,-1.969,1
"318","Sanderson Farms Championship",4,"Castro, Roberto",4,272,4,5.957,20,5,0.077,-0.333,1
"319","OHL Classic at Mayakoba",6,"Castro, Roberto",25,275,4,3.848,19,9,0,0,1
"320","The RSM Classic",7,"Castro, Roberto",52,277,4,3.481,12,6,0.197,0.167,1
"321","Sony Open in Hawaii",9,"Castro, Roberto",99,140,2,2.701,6,6,0.028,-1.235,1
"322","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Castro, Roberto",56,278,4,8.231,17,7,0.701,-1.197,1
"323","AT&T Pebble Beach Pro-Am",13,"Castro, Roberto",8,277,4,-1.974,21,11,0.657,2.102,1
"324","Northern Trust Open",14,"Castro, Roberto",99,147,2,-0.318,3,8,0.253,-4.403,1
"325","Valspar Championship",17,"Castro, Roberto",99,146,2,-3.871,5,7,0.807,-1.422,1
"326","Arnold Palmer Invitational presented by MasterCard",18,"Castro, Roberto",46,285,4,2.149,19,16,0.037,-1.199,1
"327","Shell Houston Open",21,"Castro, Roberto",27,283,4,0.248,15,10,0.985,-7.425,1
"336","Shriners Hospitals for Children Open",2,"Cejka, Alex",2,269,4,3.683,20,6,-0.123,-0.175,1
"337","CIMB Classic",3,"Cejka, Alex",17,273,4,9.523,25,10,0,0,1
"338","OHL Classic at Mayakoba",6,"Cejka, Alex",99,142,2,2.043,7,7,0,0,1
"339","The RSM Classic",7,"Cejka, Alex",6,271,4,3.481,16,5,-0.233,-1.089,1
"340","Hyundai Tournament of Champions",8,"Cejka, Alex",21,281,4,12.77,17,5,-1.277,2.03,1
"341","Sony Open in Hawaii",9,"Cejka, Alex",99,140,2,2.701,6,6,-0.62,-0.519,1
"342","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Cejka, Alex",42,276,4,8.96,16,4,0.226,-3.223,1
"343","Farmers Insurance Open",11,"Cejka, Alex",99,147,2,-0.577,6,8,-0.359,0.077,1
"344","Waste Management Phoenix Open",12,"Cejka, Alex",99,138,2,-0.315,8,4,-0.027,1.854,1
"345","AT&T Pebble Beach Pro-Am",13,"Cejka, Alex",41,285,4,-0.722,14,11,0.556,0.365,1
"346","The Honda Classic",15,"Cejka, Alex",21,281,4,-6.686,14,16,-1.204,2.078,1
"347","Puerto Rico Open at Coco Beach",19,"Cejka, Alex",11,280,4,1.071,17,8,0,0,1
"348","World Golf Championships-HSBC Champions",5,"Chalmers, Greg",58,288,4,5.684,10,9,0,0,1
"349","The RSM Classic",7,"Chalmers, Greg",99,145,2,1.532,5,6,0.311,-1.012,1
"350","AT&T Pebble Beach Pro-Am",13,"Chalmers, Greg",99,221,3,-0.175,6,11,1.174,1.123,1
"351","Puerto Rico Open at Coco Beach",19,"Chalmers, Greg",99,146,2,0.299,6,7,0,0,1
"353","Frys.com Open",1,"Chappell, Kevin",99,146,2,1.413,4,6,0.913,-4.25,1
"354","Shriners Hospitals for Children Open",2,"Chappell, Kevin",62,282,4,3.683,19,16,0.394,-5.324,1
"355","CIMB Classic",3,"Chappell, Kevin",29,277,4,9.523,16,4,0,0,1
"356","The RSM Classic",7,"Chappell, Kevin",2,266,4,3.552,23,8,0.475,-1.614,1
"357","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Chappell, Kevin",66,281,4,8.231,16,11,-0.401,-1.06,1
"358","Waste Management Phoenix Open",12,"Chappell, Kevin",99,144,2,-0.315,7,8,-1.041,-2.675,1
"359","AT&T Pebble Beach Pro-Am",13,"Chappell, Kevin",99,217,3,-0.175,9,12,-0.062,-0.912,1
"360","Northern Trust Open",14,"Chappell, Kevin",26,279,4,0.115,16,10,-0.194,0.245,1
"361","Valspar Championship",17,"Chappell, Kevin",67,293,4,-5.818,8,17,0.363,0.218,1
"362","Arnold Palmer Invitational presented by MasterCard",18,"Chappell, Kevin",2,272,4,2.149,21,6,-0.027,3.681,1
"363","Shell Houston Open",21,"Chappell, Kevin",99,144,2,0.431,6,6,1.016,-3.006,1
"366","CIMB Classic",3,"Chia, Danny",68,286,4,9.523,14,10,0,0,1
"367","World Golf Championships-HSBC Champions",5,"Chia, Danny",67,290,4,5.684,11,13,0,0,1
"368","Sanderson Farms Championship",4,"Choi, K.J.",50,281,4,5.957,15,8,-0.917,3.602,1
"369","OHL Classic at Mayakoba",6,"Choi, K.J.",99,142,2,2.043,8,5,0,0,1
"370","The RSM Classic",7,"Choi, K.J.",52,277,4,3.481,10,5,0.447,0.221,1
"371","Sony Open in Hawaii",9,"Choi, K.J.",50,272,4,6.264,19,8,-0.56,1.256,1
"372","Farmers Insurance Open",11,"Choi, K.J.",2,283,4,-7.49,17,11,-0.09,0.306,1
"373","Waste Management Phoenix Open",12,"Choi, K.J.",17,278,4,0.093,12,6,-0.291,4.261,1
"374","AT&T Pebble Beach Pro-Am",13,"Choi, K.J.",99,221,3,-1.829,5,11,-0.939,-2.796,1
"375","Northern Trust Open",14,"Choi, K.J.",5,272,4,0.115,20,8,-0.798,5.467,1
"376","Valspar Championship",17,"Choi, K.J.",62,291,4,-5.818,8,15,-0.407,-0.246,1
"377","Arnold Palmer Invitational presented by MasterCard",18,"Choi, K.J.",36,283,4,2.149,13,9,-0.518,-0.924,1
"378","Shell Houston Open",21,"Choi, K.J.",99,148,2,0.431,3,7,-1.618,-0.188,1
"379","Shriners Hospitals for Children Open",2,"Cink, Stewart",56,281,4,3.683,15,12,-0.029,-6.162,1
"380","CIMB Classic",3,"Cink, Stewart",17,273,4,9.523,22,7,0,0,1
"381","OHL Classic at Mayakoba",6,"Cink, Stewart",99,145,2,2.043,6,7,0,0,1
"382","The RSM Classic",7,"Cink, Stewart",63,279,4,3.552,15,12,0.125,-0.399,1
"383","Sony Open in Hawaii",9,"Cink, Stewart",42,271,4,6.264,18,10,0.372,-1.546,1
"384","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Cink, Stewart",99,209,3,6.847,16,7,-2.04,0.446,1
"385","Farmers Insurance Open",11,"Cink, Stewart",99,145,2,-0.322,6,7,0.378,-0.554,1
"386","AT&T Pebble Beach Pro-Am",13,"Cink, Stewart",21,280,4,-1.974,17,9,0.437,2.548,1
"387","Northern Trust Open",14,"Cink, Stewart",45,282,4,0.115,14,12,0.206,-1.45,1
"388","The Honda Classic",15,"Cink, Stewart",26,282,4,-6.686,14,14,0.431,-5.503,1
"389","Valspar Championship",17,"Cink, Stewart",99,154,2,-3.871,3,12,-0.592,-0.816,1
"390","Arnold Palmer Invitational presented by MasterCard",18,"Cink, Stewart",99,146,2,0.886,8,8,-1.061,0.047,1
"391","Shell Houston Open",21,"Cink, Stewart",33,284,4,0.248,15,10,-0.076,-0.407,1
"392","Frys.com Open",1,"Clark, Tim",99,148,2,1.413,6,10,-0.383,-5.428,1
"393","Shriners Hospitals for Children Open",2,"Clark, Tim",99,142,2,1.944,8,8,-0.528,-1.374,1
"394","Sanderson Farms Championship",4,"Clark, Tim",99,151,2,3.173,6,9,-1.219,-7.97,1
"395","OHL Classic at Mayakoba",6,"Clark, Tim",34,277,4,3.848,15,7,0,0,1
"396","The RSM Classic",7,"Clark, Tim",99,144,2,1.532,6,8,-0.678,0.053,1
"397","Sony Open in Hawaii",9,"Clark, Tim",13,268,4,6.264,19,7,0.029,4.801,1
"398","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Clark, Tim",99,220,3,6.617,9,11,-2.713,-3.643,1
"399","Valspar Championship",17,"Clarke, Darren",99,154,2,-3.871,4,15,-1.867,-2.382,1
"400","Masters Tournament",22,"Clarke, Darren",99,160,2,-5.112,4,16,0,0,1
"402","World Golf Championships-Cadillac Championship",16,"Coetzee, George",57,299,4,-3.421,8,17,-0.155,-7.04,1
